image,price,price_off,proc_name
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6111/6111206_ra.jpg;maxHeight=145;maxWidth=222,699,regular,Microsoft - Surface Pro Core M 128GB with Black Type Cover - Platinum
https://pisces.bbystatic.com//image2/BestBuy_US/store/ee/2017/global/student-hub/badge-student-deals.png,1199.99,regular,"Dell - Inspiron 2-in-1 15.6"" 4k UHD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB Solid State Drive - Era Gray"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5839/5839303_sa.jpg;maxHeight=145;maxWidth=222,179.99,regular," Samsung - 11.6"" Chromebook - Intel Celeron - 2GB Memory - 16GB eMMC Flash Memory - Metallic Black"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6114/6114305_sa.jpg;maxHeight=145;maxWidth=222,1099.99,regular,"Dell - Inspiron 2-in-1 17.3"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce MX150 - 2TB Hard Drive - Era gray"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6061/6061900_sa.jpg;maxHeight=145;maxWidth=222,749.99,regular,"Lenovo - Yoga 720 2-in-1 12.5"" Touch-Screen Laptop - Intel Core i5 - 8GB Memory - 128GB Solid State Drive - Iron Gray"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6124/6124570_sa.jpg;maxHeight=145;maxWidth=222,749.99,regular,"HP - Envy x360 2-in-1 15.6"" Touch-Screen Laptop - AMD Ryzen 5 - 8GB Memory - 1TB Hard Drive - HP Finish In Dark Ash Silver"
https://pisces.bbystatic.com//image2/BestBuy_US/store/ee/2017/global/student-hub/badge-student-deals.png,1412.99,regular,"Microsoft - Surface Book 2 - 13.5"" PixelSense™ Display - i5 / 8GB / 256GB iGPU - Silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5854/5854908_sa.jpg;maxHeight=145;maxWidth=222,599.99,regular,"HP - 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i3 - 8GB Memory - 1TB Hard Drive - Natural silver and ash silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6061/6061400_sa.jpg;maxHeight=145;maxWidth=222,1649.99,regular,"Lenovo - Yoga 920 2-in-1 13.9"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD - Platinum"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6113/6113108_sa.jpg;maxHeight=145;maxWidth=222,529.99,regular,"HP - 17.3"" Laptop - Intel Core i5 - 8GB Memory - 1TB Hard Drive - HP finish in jet black"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6080/6080200_sa.jpg;maxHeight=145;maxWidth=222,1499.99,regular,"HP - Spectre x360 2-in-1 13.3"" 4K Ultra HD Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 512GB SSD - HP finish in dark ash silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/4600/4600200_sa.jpg;maxHeight=145;maxWidth=222,1999.99,regular,"Apple - MacBook Pro® - 13.3"" Display - Intel Core i7 - 16GB Memory - 512GB Solid State Drive (Latest Model) - Space Gray"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6083/6083540_sa.jpg;maxHeight=145;maxWidth=222,1049.99,regular,"Dell - Inspiron 2-in-1 13.3"" Touch-Screen Laptop - Intel Core i7 - 16GB Memory - 256GB Solid State Drive - Era Gray"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5712/5712735_sa.jpg;maxHeight=145;maxWidth=222,1549.99,regular,"MSI - GS Series Stealth Pro 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1060 - 1TB HDD + 256GB SSD - Aluminum black"
https://pisces.bbystatic.com//image2/BestBuy_US/store/ee/2017/com/misc/windows_mixed_reality_ultra_badge.jpg,999.99,regular,"HP OMEN - 15.6"" Laptop - Intel Core i7 - 8GB Memory - NVIDIA GeForce GTX 1050 - 1TB Hard Drive - HP sandblasted hairline brushing and carbon fiber"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5620/5620405_sa.jpg;maxHeight=145;maxWidth=222,429.99,regular,"Samsung - 12.3"" Chromebook Plus - Touch Screen- 4GB memory- 32GB eMMC Flash Memory - Platinum Silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5721/5721724_sa.jpg;maxHeight=145;maxWidth=222,1599.99,regular,"Apple - MacBook Pro®  - 13"" Display - Intel Core i5 - 8 GB Memory - 256GB Flash Storage (Latest Model) - Silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6103/6103300_sa.jpg;maxHeight=145;maxWidth=222,399,regular,"Acer - 15.6"" Touch-Screen Chromebook - Intel Pentium - 4GB Memory - 32GB eMMC Flash Memory - Pure silver"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6177/6177154_sa.jpg;maxHeight=145;maxWidth=222,379.99,regular," Dell - Inspiron 15.6"" Laptop - Intel Core i3 - 8GB Memory - 1TB Hard Drive - Black"
https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6077/6077501_sa.jpg;maxHeight=145;maxWidth=222,829.99,regular,"Asus - 2-in-1 15.6"" Touch-Screen Laptop - Intel Core i5 - 12GB Memory - 1TB Hard Drive - Sandblasted aluminum silver with chrome hinge"
